,Año,CO2 (kt),CO2 per cápita (toneladas métricas),hash
26,1986,"179,683",2.868319392,50928
27,1987,"447,374",7.234964017,50928
28,1988,"612,389",10.026507523,50928
29,1989,"649,059",10.634732599,50928
30,1990,"1.840,83",29.620164768,50928
31,1991,"1.928,84",29.847608437,50928
32,1992,"1.723,49",25.258151975,50928
33,1993,"1.771,16",24.430480841,50928
34,1994,"1.763,83",22.996440678,50928
35,1995,"1.782,16",22.186614546,50928
36,1996,"1.800,50",21.641889537,50928
37,1997,"1.837,17",21.500661229,50928
38,1998,"1.712,49",19.621533984,50928
39,1999,"1.749,16",19.652588648,50928
40,2000,"2.321,21",25.547678795,50928
41,2001,"2.357,88",25.382489719,50928
42,2002,"2.372,55",24.975514501,50928
43,2003,"2.416,55",24.909065608,50928
44,2004,"2.420,22",24.510542626,50928
45,2005,"2.497,23",24.964530995,50928
46,2006,"2.497,23",24.766706337,50928
47,2007,"2.592,57",25.613714952,50928
48,2008,"2.508,23",24.750133212,50928
49,2009,"2.522,90",24.876705845,50928
50,2010,"2.456,89",24.182702245,50928
51,2011,"2.438,56",23.922412102,50928
87,1995,"407,037",6.374494942,50568
88,1996,"425,372",6.616353766,50568
89,1997,"458,375",7.145696603,50568
90,1998,"484,044",7.576446281,50568
91,1999,"513,38",8.001433893,50568
92,2000,"524,381",8.018180706,50568
93,2001,"524,381",7.73765678,50568
94,2002,"531,715",7.484094812,50568
95,2003,"535,382",7.159140446,50568
96,2004,"564,718",7.208828523,50568
97,2005,"575,719",7.088127747,50568
98,2006,"546,383",6.553476545,50568
99,2007,"539,049",6.350868305,50568
100,2008,"539,049",6.296124556,50568
101,2009,"517,047",6.049172848,50568
102,2010,"517,047",6.12477049,50568
103,2011,"491,378",5.96868547,50568
104,1960,"414,371",0.046067875,32516
105,1961,"491,378",0.053614943,32516
106,1962,"689,396",0.073781338,32516
107,1963,"707,731",0.074251368,32516
108,1964,"839,743",0.086316543,32516
109,1965,"1.008,43",0.101498607,32516
110,1966,"1.092,77",0.10767397,32516
111,1967,"1.283,45",0.123782381,32516
112,1968,"1.224,78",0.115547383,32516
113,1969,"942,419",0.086862817,32516
114,1970,"1.672,15",0.150358548,32516
115,1971,"1.895,84",0.166114846,32516
116,1972,"1.532,81",0.130820142,32516
117,1973,"1.639,15",0.136339954,32516
118,1974,"1.917,84",0.155725123,32516
119,1975,"2.126,86",0.169027082,32516
120,1976,"1.987,51",0.154895026,32516
121,1977,"2.390,88",0.183118308,32516
122,1978,"2.159,86",0.163346971,32516
123,1979,"2.240,54",0.168673488,32516
124,1980,"1.760,16",0.133230271,32516
125,1981,"1.983,85",0.152639744,32516
126,1982,"2.101,19",0.165879122,32516
127,1983,"2.522,90",0.205462699,32516
128,1984,"2.830,92",0.237642948,32516
129,1985,"3.509,32",0.301734199,32516
130,1986,"3.142,62",0.274729698,32516
131,1987,"3.124,28",0.275560305,32516
132,1988,"2.867,59",0.252079156,32516
133,1989,"2.775,92",0.239131208,32516
134,1990,"2.676,91",0.221826764,32516
135,1991,"2.493,56",0.194971232,32516
136,1992,"1.426,46",0.103775745,32516
137,1993,"1.375,13",0.092761103,32516
138,1994,"1.320,12",0.083183538,32516
139,1995,"1.268,78",0.075646465,32516
140,1996,"1.199,11",0.06859185,32516
141,1997,"1.114,77",0.061814349,32516
142,1998,"1.056,10",0.057050868,32516
143,1999,"832,409",0.043722588,32516
144,2000,"781,071",0.03964437,32516
145,2001,"645,392",0.031434756,32516
146,2002,"894,748",0.041641211,32516
147,2003,"1.037,76",0.046107612,32516
148,2004,"957,087",0.040727366,32516
149,2005,"1.338,46",0.05485483,32516
150,2006,"1.657,48",0.065815968,32516
151,2007,"2.280,87",0.088141054,32516
152,2008,"4.217,05",0.158961558,32516
153,2009,"6.776,62",0.24907353,32516
154,2010,"8.470,77",0.302936388,32516
155,2011,"12.251,45",0.425262105,32516
156,1960,"550,05",0.104357101,45898
157,1961,"454,708",0.084718406,45898
158,1962,"1.180,77",0.216025343,45898
159,1963,"1.151,44",0.206877061,45898
160,1964,"1.224,78",0.216174133,45898
161,1965,"1.188,11",0.206088959,45898
162,1966,"1.554,81",0.265164146,45898
163,1967,"993,757",0.166658589,45898
164,1968,"1.672,15",0.275655471,45898
165,1969,"2.786,92",0.451125604,45898
166,1970,"3.582,66",0.568588577,45898
167,1971,"3.410,31",0.529744961,45898
168,1972,"4.506,74",0.684120294,45898
169,1973,"4.880,78",0.723055043,45898
170,1974,"4.873,44",0.703873436,45898
171,1975,"4.415,07",0.621198891,45898
172,1976,"3.285,63",0.450116912,45898
173,1977,"3.534,99",0.471248794,45898
174,1978,"5.412,49",0.701359921,45898
175,1979,"5.504,17",0.692097154,45898
176,1980,"5.346,49",0.651061684,45898
177,1981,"5.280,48",0.621382804,45898
178,1982,"4.649,76",0.527930763,45898
179,1983,"5.115,47",0.560374447,45898
180,1984,"5.009,12",0.530351031,45898
181,1985,"4.701,09",0.482400531,45898
182,1986,"4.660,76",0.464973712,45898
183,1987,"5.815,86",0.565431153,45898
184,1988,"5.130,13",0.486503528,45898
185,1989,"5.009,12",0.462907837,45898
186,1990,"4.429,74",0.398075822,45898
187,1991,"4.367,40",0.380694834,45898
188,1992,"4.418,74",0.372921412,45898
189,1993,"5.801,19",0.473691138,45898
190,1994,"3.890,69",0.307601078,45898
191,1995,"11.012,00",0.844305988,45898
192,1996,"10.491,29",0.781484777,45898
193,1997,"7.381,67",0.5348313,45898
194,1998,"7.308,33",0.515117027,45898
195,1999,"9.156,50",0.627072296,45898
196,2000,"9.541,53",0.633625299,45898
197,2001,"9.732,22",0.625351712,45898
198,2002,"12.665,82",0.786223278,45898
199,2003,"9.064,82",0.543083667,45898
200,2004,"18.793,38",1.086604897,45898
201,2005,"19.156,41",1.069417185,45898
202,2006,"22.266,02",1.200877147,45898
203,2007,"25.151,95",1.311096483,45898
204,2008,"27.172,47",1.369424769,45898
205,2009,"29.361,67",1.430873373,45898
206,2010,"29.743,04",1.401654169,45898
207,2011,"29.710,03",1.35400753,45898
208,1960,"2.024,18",1.258194928,50290
209,1961,"2.280,87",1.374186047,50290
210,1962,"2.464,22",1.439955964,50290
211,1963,"2.082,86",1.181681144,50290
212,1964,"2.016,85",1.11174196,50290
213,1965,"2.174,53",1.166099043,50290
214,1966,"2.552,23",1.333055465,50290
215,1967,"2.680,58",1.3637463,50290
216,1968,"3.072,95",1.519551277,50290
217,1969,"3.245,30",1.558967572,50290
218,1970,"3.744,01",1.753239905,50290
219,1971,"4.352,73",1.989497923,50290
220,1972,"5.643,51",2.515914398,50290
221,1973,"5.291,48",2.303897417,50290
222,1974,"4.345,40",1.849006691,50290
223,1975,"4.594,75",1.910633637,50290
224,1976,"4.950,45",2.013584562,50290
225,1977,"5.720,52",2.275876391,50290
226,1978,"6.494,26",2.53062504,50290
227,1979,"7.587,02",2.898208518,50290
228,1980,"5.170,47",1.93505831,50290
229,1981,"7.341,33",2.693023914,50290
230,1982,"7.308,33",2.624856785,50290
231,1983,"7.631,03",2.683239919,50290
232,1984,"7.825,38",2.694291374,50290
233,1985,"7.880,38",2.658015382,50290
234,1986,"8.056,40",2.665356221,50290
235,1987,"7.444,01",2.414060815,50290
236,1988,"7.326,67",2.331598531,50290
237,1989,"8.984,15",2.783243075,50290
238,1990,"7.488,01",2.278386827,50290
239,1991,"3.971,36",1.215676857,50290
240,1992,"2.387,22",0.73519813,50290
241,1993,"2.343,21",0.726062789,50290
242,1994,"1.928,84",0.601346953,50290
243,1995,"2.086,52",0.654537133,50290
244,1996,"2.016,85",0.636625313,50290
245,1997,"1.543,81",0.49036506,50290
246,1998,"1.752,83",0.560271437,50290
247,1999,"2.984,94",0.960164412,50290
248,2000,"3.021,61",0.978174681,50290
249,2001,"3.223,29",1.053304176,50290
250,2002,"3.751,34",1.229540709,50290
251,2003,"4.294,06",1.412697196,50290
252,2004,"4.165,71",1.376212735,50290
253,2005,"4.253,72",1.412498211,50290
254,2006,"3.865,02",1.291547969,50290
255,2007,"4.477,41",1.507535815,50290
256,2008,"4.657,09",1.580113283,50290
257,2009,"4.488,41",1.533178094,50290
258,2010,"4.415,07",1.515632053,50290
259,2011,"4.668,09",1.60703771,50290
260,1960,"11,001",0.118785902,161600
261,1961,"11,001",0.108936971,161600
262,1962,"18,335",0.16335531,161600
263,1963,"22,002",0.175712369,161600
264,1964,"18,335",0.132650846,161600
265,1965,"22,002",0.146369696,161600
266,1966,"25,669",0.159358568,161600
267,1967,"916,75",5.336736892,161600
268,1968,"1.243,11",6.708216413,161600
269,1969,"20.524,20",99.84043878,161600
270,1970,"15.247,39",64.762888963,161600
271,1971,"21.184,26",76.988875563,161600
272,1972,"23.454,13",72.37388334,161600
273,1973,"30.630,45",80.012044731,161600
274,1974,"31.327,18",69.315896962,161600
275,1975,"31.070,49",58.483978805,161600
276,1976,"39.651,27",63.742797616,161600
277,1977,"38.785,86",53.656931116,161600
278,1978,"44.814,41",54.163321223,161600
279,1979,"36.607,66",39.477561272,161600
280,1980,"36.904,69",36.295325776,161600
281,1981,"36.857,02",33.717635403,161600
282,1982,"36.871,69",31.82772295,161600
283,1983,"35.342,55",29.011556997,161600
284,1984,"46.394,88",36.238132656,161600
285,1985,"49.926,21",36.970516123,161600
286,1986,"47.234,63",33.018554428,161600
287,1987,"47.693,00",31.397817367,161600
288,1988,"48.367,73",29.969397188,161600
289,1989,"54.487,95",31.824900401,161600
290,1990,"52.009,06",28.711160292,161600
291,1991,"57.010,85",29.798843293,161600
292,1992,"58.136,62",28.794559126,161600
293,1993,"65.980,33",31.007790915,161600
294,1994,"73.130,98",32.672832857,161600
295,1995,"70.641,09",30.057581678,161600
296,1996,"41.059,40",16.638556712,161600
297,1997,"41.646,12",16.047240311,161600
298,1998,"81.495,41",29.810630741,161600
299,1999,"78.374,79",27.17395364,161600
300,2000,"112.562,23",36.904101074,161600
301,2001,"101.414,55",31.516099028,161600
302,2002,"84.704,03",24.956551446,161600
303,2003,"106.841,71",29.4670889,161600
304,2004,"113.240,63",28.481436992,161600
305,2005,"116.148,56",25.914587227,161600
306,2006,"123.874,93",23.954519164,161600
307,2007,"139.404,67",23.195066971,161600
308,2008,"158.935,11",23.033600468,161600
309,2009,"162.602,11",21.102295617,161600
310,2010,"167.596,57",20.120957283,161600
311,2011,"178.483,89",20.43383762,161600
312,1960,"48.815,10",2.367473032,64895
313,1961,"51.180,32",2.442615665,64895
314,1962,"53.695,88",2.522392105,64895
315,1963,"50.083,89",2.316355797,64895
316,1964,"55.727,40",2.53837965,64895
317,1965,"58.866,35",2.641714463,64895
318,1966,"63.138,41",2.792653923,64895
319,1967,"65.543,96",2.858162546,64895
320,1968,"69.082,61",2.969855218,64895
321,1969,"77.329,70",3.275850301,64895
322,1970,"82.734,85",3.451159222,64895
323,1971,"88.939,42",3.650078169,64895
324,1972,"90.156,86",3.637858366,64895
325,1973,"94.065,88",3.730791118,64895
326,1974,"95.569,35",3.726699112,64895
327,1975,"94.931,30",3.641822498,64895
328,1976,"99.786,40",3.768773931,64895
329,1977,"100.791,16",3.749871115,64895
330,1978,"102.639,33",3.762750231,64895
331,1979,"110.703,06",3.998733697,64895
332,1980,"108.737,55",3.86885293,64895
333,1981,"102.041,61",3.574967612,64895
334,1982,"103.424,07",3.567086543,64895
335,1983,"105.213,56",3.572041973,64895
336,1984,"106.522,68",3.560142178,64895
337,1985,"100.596,81",3.310327288,64895
338,1986,"104.212,47",3.377245218,64895
339,1987,"114.942,12",3.669168725,64895
340,1988,"121.473,04",3.820445808,64895
341,1989,"117.090,98",3.629202129,64895
342,1990,"112.613,57",3.440710803,64895
343,1991,"117.021,30",3.525383685,64895
344,1992,"121.447,37",3.608582241,64895
345,1993,"118.609,12",3.477160476,64895
346,1994,"123.350,55",3.569365678,64895
347,1995,"122.547,47",3.501874849,64895
348,1996,"129.217,75",3.648190358,64895
349,1997,"134.677,91",3.758387022,64895
350,1998,"137.673,85",3.79878183,64895
351,1999,"145.488,23",3.969875863,64895
352,2000,"141.076,82",3.806975725,64895
353,2001,"132.631,72",3.539532688,64895
354,2002,"123.266,21",3.253312671,64895
355,2003,"133.126,77",3.47503504,64895
356,2004,"156.170,20",4.032407013,64895
357,2005,"160.951,96",4.111634824,64895
358,2006,"174.237,51",4.404525042,64895
359,2007,"179.738,01",4.496833655,64895
360,2008,"191.578,75",4.744178401,64895
361,2009,"180.654,76",4.427960113,64895
362,2010,"179.000,94",4.342272052,64895
363,2011,"190.034,94",4.562048512,64895
396,1992,"4.052,04",1.174674163,50497
397,1993,"2.896,93",0.859706565,50497
398,1994,"2.966,60",0.901718662,50497
399,1995,"3.490,98",1.083089242,50497
400,1996,"2.607,24",0.821584566,50497
401,1997,"3.278,30",1.044825239,50497
402,1998,"3.406,64",1.094342744,50497
403,1999,"3.058,28",0.988511937,50497
404,2000,"3.465,32",1.126529454,50497
405,2001,"3.542,32",1.15760795,50497
406,2002,"3.043,61",0.998805808,50497
407,2003,"3.428,65",1.1291735,50497
408,2004,"3.645,00",1.20456698,50497
409,2005,"4.352,73",1.443730955,50497
410,2006,"4.382,07",1.459636908,50497
411,2007,"5.064,13",1.694755259,50497
412,2008,"5.559,17",1.868611029,50497
413,2009,"4.360,06",1.469960972,50497
414,2010,"4.217,05",1.422998378,50497
415,2011,"4.961,45",1.671656923,50497
468,1960,"36,67",0.67061685,95275
469,1961,"47,671",0.86044077,95275
470,1962,"102,676",1.823373764,95275
471,1963,"84,341",1.47017501,95275
472,1964,"91,675",1.567094017,95275
473,1965,"150,347",2.520359412,95275
474,1966,"348,365",5.727991713,95275
475,1967,"564,718",9.10806103,95275
476,1968,"990,09",15.671932379,95275
477,1969,"1.257,78",19.559006018,95275
478,1970,"462,042",7.068212761,95275
479,1971,"425,372",6.412192107,95275
480,1972,"374,034",5.565568038,95275
481,1973,"330,03",4.855381628,95275
482,1974,"429,039",6.249202534,95275
483,1975,"707,731",10.219499516,95275
484,1976,"403,37",5.780430484,95275
485,1977,"465,709",6.631858508,95275
486,1978,"491,378",6.969109888,95275
487,1979,"407,037",5.769237311,95275
488,1980,"143,013",2.034295387,95275
489,1981,"106,343",1.524630824,95275
490,1982,"293,36",4.254677302,95275
491,1983,"84,341",1.24107537,95275
492,1984,"146,68",2.193739437,95275
493,1985,"249,356",3.792832806,95275
494,1986,"249,356",3.859701262,95275
495,1987,"275,025",4.332193939,95275
496,1988,"286,026",4.57363523,95275
497,1989,"286,026",4.615779366,95275
498,1990,"300,694",4.85726747,95275
499,1991,"289,693",4.641623406,95275
500,1992,"289,693",4.566841126,95275
501,1993,"304,361",4.692005303,95275
502,1994,"311,695",4.683621337,95275
503,1995,"322,696",4.721298044,95275
504,1996,"322,696",4.593864332,95275
505,1997,"337,364",4.670561524,95275
506,1998,"333,697",4.49690052,95275
507,1999,"348,365",4.581278521,95275
508,2000,"344,698",4.439238615,95275
509,2001,"344,698",4.364812845,95275
510,2002,"363,033",4.536211421,95275
511,2003,"388,702",4.804484327,95275
512,2004,"407,037",4.980995619,95275
513,2005,"410,704",4.974311149,95275
514,2006,"425,372",5.096289552,95275
515,2007,"469,376",5.561524699,95275
516,2008,"480,377",5.628318688,95275
517,2009,"509,713",5.906292005,95275
518,2010,"524,381",6.011268671,95275
519,2011,"513,38",5.823804338,95275
520,1960,"88.202,35",8.582936643,90839
521,1961,"90.589,57",8.641569017,90839
522,1962,"94.912,96",8.835688047,90839
523,1963,"101.029,52",9.226439909,90839
524,1964,"108.979,57",9.759073431,90839
525,1965,"120.967,00",10.622321391,90839
526,1966,"120.332,61",10.328092438,90839
527,1967,"129.265,42",10.955624799,90839
528,1968,"134.622,90",11.210167708,90839
529,1969,"142.257,60",11.60055435,90839
530,1970,"147.618,75",11.802890541,90839
531,1971,"152.774,55",11.80911757,90839
532,1972,"157.486,65",11.951631555,90839
533,1973,"170.992,21",12.779686846,90839
534,1974,"172.356,33",12.559668731,90839
535,1975,"175.883,99",12.659899806,90839
536,1976,"174.244,84",12.416791777,90839
537,1977,"187.787,07",13.231896139,90839
538,1978,"202.015,03",14.069858615,90839
539,1979,"205.069,64",14.12909198,90839
540,1980,"220.746,07",15.024916009,90839
541,1981,"230.360,94",15.432500837,90839
542,1982,"234.119,62",15.424931809,90839
543,1983,"225.003,45",14.64008413,90839
544,1984,"236.594,84",15.220975296,90839
545,1985,"241.229,93",15.308410204,90839
546,1986,"239.964,81",14.980573153,90839
547,1987,"256.106,95",15.746957802,90839
548,1988,"261.145,41",15.796167782,90839
549,1989,"277.771,58",16.519862915,90839
550,1990,"263.847,98",15.461262108,90839
551,1991,"261.574,44",15.133906735,90839
552,1992,"268.068,70",15.322589368,90839
553,1993,"277.478,22",15.706018169,90839
554,1994,"278.204,29",15.581309941,90839
555,1995,"281.940,96",15.600982846,90839
556,1996,"302.241,47",16.506005898,90839
557,1997,"305.838,80",16.516649619,90839
558,1998,"316.964,48",16.940007429,90839
559,1999,"325.380,24",17.192235232,90839
560,2000,"329.479,95",17.202524409,90839
561,2001,"324.877,87",16.735067481,90839
562,2002,"341.390,37",17.372317799,90839
563,2003,"336.355,58",16.906198166,90839
564,2004,"342.776,49",17.030341326,90839
565,2005,"350.268,17",17.174386265,90839
566,2006,"357.946,87",17.293873823,90839
567,2007,"363.795,74",17.467002247,90839
568,2008,"376.197,53",17.704079683,90839
569,2009,"382.464,43",17.631833051,90839
570,2010,"368.170,47",16.710904354,90839
571,2011,"369.039,55",16.519209917,90839
572,1960,"30.821,14",4.373318828,50750
573,1961,"31.862,56",4.496361641,50750
574,1962,"33.905,08",4.755361673,50750
575,1963,"36.992,70",5.155193747,50750
576,1964,"38.943,54",5.391003988,50750
577,1965,"38.188,14",5.252196533,50750
578,1966,"39.258,90",5.361724683,50750
579,1967,"39.966,63",5.417736727,50750
580,1968,"42.350,18",5.711110104,50750
581,1969,"44.693,40",6.006325178,50750
582,1970,"50.692,61",6.788807307,50750
583,1971,"52.155,74",6.953651912,50750
584,1972,"56.193,11",7.448516814,50750
585,1973,"60.164,47",7.930866985,50750
586,1974,"57.469,22",7.562697278,50750
587,1975,"54.392,61",7.176844855,50750
588,1976,"58.415,31",7.721250012,50750
589,1977,"56.218,78",7.428063284,50750
590,1978,"57.483,89",7.601371804,50750
591,1979,"61.594,60",8.158846402,50750
592,1980,"52.306,09",6.928479,50750
593,1981,"56.130,77",7.416160614,50750
594,1982,"53.868,23",7.112124941,50750
595,1983,"51.983,39",6.874373273,50750
596,1984,"54.550,29",7.214278667,50750
597,1985,"54.700,64",7.230766353,50750
598,1986,"54.080,92",7.144304852,50750
599,1987,"57.744,25",7.623419815,50750
600,1988,"53.340,18",7.032030698,50750
601,1989,"54.117,59",7.102448997,50750
602,1990,"57.722,25",7.518022233,50750
603,1991,"61.638,60",7.94835195,50750
604,1992,"56.688,15",7.229977927,50750
605,1993,"57.135,53",7.227191928,50750
606,1994,"57.095,19",7.194347413,50750
607,1995,"59.827,11",7.527052401,50750
608,1996,"63.226,41",7.943997858,50750
609,1997,"62.705,70",7.869650771,50750
610,1998,"63.717,79",7.987899893,50750
611,1999,"61.917,30",7.747095213,50750
612,2000,"62.188,65",7.762359194,50750
613,2001,"65.785,98",8.180002892,50750
614,2002,"66.977,76",8.287318901,50750
615,2003,"72.074,89",8.874662113,50750
616,2004,"72.272,90",8.844004368,50750
617,2005,"74.278,75",9.027746201,50750
618,2006,"72.214,23",8.733506631,50750
619,2007,"69.724,34",8.405092793,50750
620,2008,"68.752,58",8.262046031,50750
621,2009,"63.483,10",7.608851293,50750
622,2010,"67.975,18",8.127692863,50750
623,2011,"65.202,93",7.769983423,50750
656,1992,"57.678,24",7.813362639,62315
657,1993,"49.365,15",6.586411474,62315
658,1994,"42.672,88",5.617069764,62315
659,1995,"33.479,71",4.356500976,62315
660,1996,"31.510,53",4.059066212,62315
661,1997,"29.809,04",3.803022741,62315
662,1998,"31.675,55",4.00297561,62315
663,1999,"28.576,93",3.579835395,62315
664,2000,"29.508,35",3.666271029,62315
665,2001,"28.771,28",3.547105484,62315
666,2002,"29.614,69",3.623944346,62315
667,2003,"30.615,78",3.718169927,62315
668,2004,"32.089,92",3.863229639,62315
669,2005,"34.337,79",4.091801927,62315
670,2006,"39.167,23",4.616299863,62315
671,2007,"30.509,44",3.5553401,62315
672,2008,"35.503,89",4.051383481,62315
673,2009,"31.902,90",3.565668218,62315
674,2010,"30.678,12",3.388225879,62315
675,2011,"33.457,71",3.647379147,62315
678,1962,"44,004",0.015202573,49289
679,1963,"47,671",0.016154716,49289
680,1964,"47,671",0.015827251,49289
681,1965,"36,67",0.011909579,49289
682,1966,"47,671",0.015115038,49289
683,1967,"47,671",0.014735443,49289
684,1968,"55,005",0.016581181,49289
685,1969,"73,34",0.021615415,49289
686,1970,"62,339",0.018032098,49289
687,1971,"73,34",0.020908925,49289
688,1972,"73,34",0.020674675,49289
689,1973,"73,34",0.020469155,49289
690,1974,"91,675",0.02529766,49289
691,1975,"77,007",0.020942939,49289
692,1976,"88,008",0.023502041,49289
693,1977,"99,009",0.025881431,49289
694,1978,"102,676",0.026207124,49289
695,1979,"110,01",0.027372978,49289
696,1980,"146,68",0.035545483,49289
697,1981,"157,681",0.037191783,49289
698,1982,"157,681",0.036172651,49289
699,1983,"205,352",0.045769938,49289
700,1984,"220,02",0.047575832,49289
701,1985,"231,021",0.048388881,49289
702,1986,"242,022",0.049027749,49289
703,1987,"267,691",0.052400265,49289
704,1988,"256,69",0.048577138,49289
705,1989,"300,694",0.055127945,49289
706,1990,"293,36",0.052263073,49289
707,1991,"337,364",0.058575946,49289
708,1992,"308,028",0.052251256,49289
709,1993,"326,363",0.054214014,49289
710,1994,"333,697",0.054400843,49289
711,1995,"322,696",0.051722143,49289
712,1996,"319,029",0.05037235,49289
713,1997,"304,361",0.047405324,49289
714,1998,"293,36",0.045049693,49289
715,1999,"286,026",0.043182164,49289
716,2000,"289,693",0.042809203,49289
717,2001,"205,352",0.029561001,49289
718,2002,"212,686",0.029705089,49289
719,2003,"161,348",0.021800204,49289
720,2004,"198,018",0.025845471,49289
721,2005,"154,014",0.019411377,49289
722,2006,"187,017",0.022756803,49289
723,2007,"187,017",0.02196433,49289
724,2008,"190,684",0.021615102,49289
725,2009,"190,684",0.020867637,49289
726,2010,"194,351",0.020542078,49289
727,2011,"209,019",0.021349926,49289
728,1960,"91.000,27",9.941594074,51079
729,1961,"92.793,44",10.103871995,51079
730,1962,"98.117,92",10.64118963,51079
731,1963,"105.781,95",11.38692874,51079
732,1964,"103.662,42",11.053654717,51079
733,1965,"105.440,92",11.141655555,51079
734,1966,"105.206,23",11.042019428,51079
735,1967,"107.472,44",11.217256754,51079
736,1968,"118.557,78",12.325687126,51079
737,1969,"123.618,24",12.815449607,51079
738,1970,"125.620,42",13.01017881,51079
739,1971,"121.528,05",12.563425176,51079
740,1972,"130.834,89",13.472695257,51079
741,1973,"138.872,96",14.255486403,51079
742,1974,"135.220,63",13.836965546,51079
743,1975,"122.100,10",12.458303897,51079
744,1976,"130.009,82",13.241679786,51079
745,1977,"126.570,17",12.875438717,51079
746,1978,"135.855,02",13.807057936,51079
747,1979,"140.233,41",14.239233815,51079
748,1980,"135.301,30",13.723296274,51079
749,1981,"124.021,61",12.57955507,51079
750,1982,"117.553,02",11.926684782,51079
751,1983,"101.630,91",10.312079424,51079
752,1984,"105.422,58",10.696966385,51079
753,1985,"104.472,83",10.59744025,51079
754,1986,"102.874,02",10.431541714,51079
755,1987,"103.116,04",10.447172782,51079
756,1988,"100.354,79",10.135143851,51079
757,1989,"107.461,44",10.813514942,51079
758,1990,"106.049,64",10.639671673,51079
759,1991,"110.959,75",11.090999877,51079
760,1992,"111.968,18",11.146482514,51079
761,1993,"107.652,12",10.675034546,51079
762,1994,"112.334,88",11.105109404,51079
763,1995,"112.327,54",11.081152051,51079
764,1996,"118.059,07",11.623834247,51079
765,1997,"115.341,82",11.328852022,51079
766,1998,"118.374,43",11.601914553,51079
767,1999,"115.085,13",11.253707481,51079
768,2000,"114.894,44",11.207847238,51079
769,2001,"114.315,06",11.113039429,51079
770,2002,"107.098,40",10.364911493,51079
771,2003,"114.564,41",11.04114741,51079
772,2004,"110.908,42",10.64264053,51079
773,2005,"108.297,51",10.335095843,51079
774,2006,"106.775,71",10.122879329,51079
775,2007,"103.215,05",9.71371759,51079
776,2008,"103.882,44",9.699598963,51079
777,2009,"104.021,79",9.634775755,51079
778,2010,"109.093,25",10.012609694,51079
779,2011,"97.765,89",8.849398302,51079
780,1960,"161,348",0.066354118,43899
781,1961,"128,345",0.052045781,43899
782,1962,"135,679",0.054201528,43899
783,1963,"121,011",0.047579654,43899
784,1964,"143,013",0.055295044,43899
785,1965,"150,347",0.057114908,43899
786,1966,"113,677",0.042394929,43899
787,1967,"143,013",0.052319596,43899
788,1968,"154,014",0.055230835,43899
789,1969,"201,685",0.070849897,43899
790,1970,"282,359",0.097105031,43899
791,1971,"293,36",0.0987099,43899
792,1972,"388,702",0.127891949,43899
793,1973,"381,368",0.122623449,43899
794,1974,"407,037",0.127816295,43899
795,1975,"443,707",0.135983014,43899
796,1976,"260,357",0.077823023,43899
797,1977,"297,027",0.086539722,43899
798,1978,"363,033",0.103038654,43899
799,1979,"366,7",0.101340082,43899
800,1980,"517,047",0.139064998,43899
801,1981,"429,039",0.112249052,43899
802,1982,"502,379",0.127787747,43899
803,1983,"462,042",0.114215524,43899
804,1984,"513,38",0.123291053,43899
805,1985,"744,401",0.173630822,43899
806,1986,"693,063",0.15699872,43899
807,1987,"539,049",0.118573004,43899
808,1988,"561,051",0.119745164,43899
809,1989,"641,725",0.132690892,43899
810,1990,"715,065",0.142976655,43899
811,1991,"828,742",0.159910854,43899
812,1992,"905,749",0.168410364,43899
813,1993,"1.133,10",0.202977024,43899
814,1994,"1.265,12",0.218621053,43899
815,1995,"1.327,45",0.221772443,43899
816,1996,"1.265,12",0.204833203,43899
817,1997,"1.217,44",0.191382863,43899
818,1998,"1.213,78",0.185408737,43899
819,1999,"1.562,14",0.231754927,43899
820,2000,"1.598,81",0.230065879,43899
821,2001,"1.815,17",0.252987807,43899
822,2002,"2.079,19",0.280412783,43899
823,2003,"2.354,21",0.307110875,43899
824,2004,"2.508,23",0.316583691,43899
825,2005,"2.394,55",0.292647893,43899
826,2006,"3.872,35",0.458607507,43899
827,2007,"4.495,74",0.516298739,43899
828,2008,"4.488,41",0.500183373,43899
829,2009,"4.752,43",0.514277812,43899
830,2010,"5.152,14",0.541771234,43899
831,2011,"4.987,12",0.509962226,43899
832,1960,"44,004",0.009111897,65538
833,1961,"91,675",0.018729909,65538
834,1962,"84,341",0.01700312,65538
835,1963,"88,008",0.017504214,65538
836,1964,"110,01",0.021575276,65538
837,1965,"102,676",0.019841275,65538
838,1966,"102,676",0.019533659,65538
839,1967,"102,676",0.019216847,65538
840,1968,"102,676",0.018894966,65538
841,1969,"121,011",0.021889876,65538
842,1970,"143,013",0.025426355,65538
843,1971,"150,347",0.026268923,65538
844,1972,"161,348",0.027698414,65538
845,1973,"168,682",0.028443195,65538
846,1974,"205,352",0.033998428,65538
847,1975,"220,02",0.035749173,65538
848,1976,"209,019",0.033314914,65538
849,1977,"249,356",0.038968347,65538
850,1978,"348,365",0.053341694,65538
851,1979,"407,037",0.061009863,65538
852,1980,"432,706",0.063420218,65538
853,1981,"557,384",0.079795475,65538
854,1982,"575,719",0.080427272,65538
855,1983,"594,054",0.080923788,65538
856,1984,"465,709",0.061836929,65538
857,1985,"476,71",0.061686779,65538
858,1986,"480,377",0.060571905,65538
859,1987,"517,047",0.063518694,65538
860,1988,"553,717",0.06626337,65538
861,1989,"821,408",0.095737151,65538
862,1990,"586,72",0.066589241,65538
863,1991,"627,057",0.069287377,65538
